file type,initial size,RLE compressed,percentage,improved compressed,percentage
text,4362,6514,149.33516735442458,3687,84.52544704264099
repeating text,10000,10002,100.02,5158,51.580000000000005
audio,119110,232186,194.93409453446392,120091,100.8236084291831
image,648422,1290570,199.03242024484055,655238,101.05116729537247
raw image,24029548,48046534,199.94772269540817,24244199,100.89327939085662
